panelist,week_number,treatment_group,cohort_period,prop_expenditure_vegetables
98,42,1,31,7.98314119251271
98,43,1,31,10.4525595581568
98,44,1,31,11.3313712608135
98,45,1,31,24.3224932249323
98,46,1,31,10.7496287071865
98,47,1,31,3.95098774693673
98,48,1,31,12.5368003576313
98,49,1,31,11.4657773542957
98,50,1,31,15.0563876341512
98,51,1,31,13.9391544843935
98,52,1,31,15.9198998748436
99,1,0,0,11.7716303708064
99,2,0,0,0
99,3,0,0,3.26845391112743
99,4,0,0,0
99,5,0,0,0
99,6,0,0,0
99,7,0,0,0
99,8,0,0,19.0224570673712
99,9,0,0,0
99,10,0,0,3.26845391112743
99,11,0,0,7.43243243243243
99,12,0,0,18.0189673340358
99,13,0,0,7.97979797979798
99,14,0,0,3.87647831800263
99,15,0,0,0
99,16,0,0,0
99,17,0,0,0
99,19,0,0,3.82631126397249
99,20,0,0,18.2356608478803
99,21,0,0,0
99,22,0,0,5.81074873679375
99,23,0,0,2.221100454316
99,24,0,0,0
99,25,0,0,9.91571641051066
99,26,0,0,0
99,27,0,0,7.2710538426139
99,30,0,0,9.81256890848953
99,31,0,0,0
99,33,0,0,6.26256822752083
99,34,0,0,43.9293598233996
99,36,0,0,4.76956055734191
99,37,0,0,0
99,38,0,0,0
99,39,0,0,12.1472392638037
99,40,0,0,6.40074211502783
99,41,0,0,6.86443601241808
99,42,0,0,43.9293598233996
99,43,0,0,12.1472392638037
99,44,0,0,6.86443601241808
99,45,0,0,2.01334286395044
99,46,0,0,10.7142857142857
99,47,0,0,33.6717428087986
99,48,0,0,11.2964366944655
99,49,0,0,0
99,50,0,0,0
99,51,0,0,6.27744768793593
99,52,0,0,0
100,1,0,0,2.45724395517987
100,2,0,0,0
100,3,0,0,0
100,4,0,0,2.13293116449424
100,5,0,0,4.22874341610233
100,6,0,0,0
100,7,0,0,20.205237084218
100,8,0,0,0
100,9,0,0,1.18341113809192
100,10,0,0,6.72386895475819
100,11,0,0,0
100,13,0,0,0
100,14,0,0,0
100,15,0,0,0
100,16,0,0,0
100,17,0,0,0
100,18,0,0,0
100,19,0,0,19.3349119736436
100,21,0,0,0
100,22,0,0,0
100,23,0,0,0
100,24,0,0,0
100,25,0,0,13.8412542871142
100,26,0,0,5.41496598639456
100,27,0,0,19.3349119736436
100,28,0,0,0
